Date,TGD,GCE
2008/12/2,5505,15972
2008/12/3,5505,16000
2008/12/4,5505,16030
2008/12/5,5515,16018
2008/12/8,5515,16030
2008/12/9,5515,16033
2008/12/10,5515,16036
2008/12/11,5515,16036
2008/12/12,5515,16036
2008/12/15,5515,16025
2008/12/17,5515,16032
2008/12/18,5515,16041
2008/12/19,5515,16046
2008/12/22,5515,16058
2008/12/23,5515,16058
2008/12/24,5521,16058
2008/12/29,5521,16058
2008/12/30,5521,16058
2008/12/31,5521,16058
2009/1/2,5521,16064
2009/1/5,5521,16064
2009/1/6,5521,16064
2009/1/7,5521,16045
2009/1/8,5521,16041
2009/1/9,5521,16041
2009/1/12,5524,16075
2009/1/13,5524,16076
2009/1/14,5524,16075
2009/1/15,5524,16075
2009/1/16,5523,16067
2009/1/19,5523,16068
2009/1/20,5523,16056
2009/1/21,5523,16056
2009/1/22,5523,16080
2009/1/23,5523,16068
2009/1/26,5523,16068
2009/1/27,5523,16070
2009/1/28,5525,16069
2009/1/29,5522,16042
2009/1/30,5505,16051
2009/2/2,5523,16045
2009/2/3,5523,16045
2009/2/4,5523,16103
2009/2/5,5523,16081
2009/2/6,5523,16074
2009/2/9,5523,16081
2009/2/10,5523,16113
2009/2/11,5523,16107
2009/2/12,5523,16100
2009/2/13,5517,16092
2009/2/16,5517,16054
2009/2/17,5517,16054
2009/2/18,5517,16030
2009/2/19,5517,16002
2009/2/20,5517,15997
2009/2/23,5517,15997
2009/2/24,5517,15997
2009/2/25,5517,15997
2009/2/26,5517,15997
2009/2/27,5517,15997
2009/3/2,5509,15997
2009/3/3,5509,15982
2009/3/4,5509,16000
2009/3/5,5509,15978
2009/3/6,5506,15978
2009/3/9,5506,15988
2009/3/10,5506,15984
2009/3/11,5504,15980
2009/3/12,5504,15980
2009/3/13,5506,15982
2009/3/16,5507,15982
2009/3/17,5507,15982
2009/3/18,5507,15996
2009/3/19,5513,15992
2009/3/20,5513,16014
2009/3/23,5513,16021
2009/3/24,5523,16033
2009/3/25,5523,16033
2009/3/26,5526,16055
2009/3/27,5530,16061
2009/3/30,5530,16078
2009/3/31,5530,16078
2009/4/1,5530,16059
2009/4/2,5530,16049
2009/4/3,5530,16058
2009/4/6,5530,16055
2009/4/7,5530,16066
2009/4/8,5530,16075
2009/4/9,5530,16090
2009/4/10,5532,16086
